,Entry_Datetime,ATM_Strike,Days_to_Expiry,CE_Symbol,CE_Entry_Price,CE_Exit_Price,CE_Exit_Datetime,PE_Symbol,PE_Entry_Price,PE_Exit_Price,PE_Exit_Datetime,PnL
0,2019-01-01 09:20:00,27300,2,27300_CE,101.75,102.85,2019-01-01 14:30:00,27300_PE,228.9,176.85,2019-01-01 14:30:00,50.95000000000002
1,2019-01-02 09:20:00,27400,1,27400_CE,92.7,131.0,2019-01-02 10:22:00,27400_PE,162.65,212.4,2019-01-02 12:44:00,-88.05
2,2019-01-03 09:20:00,27200,0,27200_CE,58.4,0.9,2019-01-03 14:30:00,27200_PE,116.05,152.45,2019-01-03 09:30:00,21.10000000000001
3,2019-01-04 09:20:00,27200,6,27200_CE,175.0,235.05,2019-01-04 12:32:00,27200_PE,290.5,229.55,2019-01-04 14:30:00,0.8999999999999773
4,2019-01-07 09:20:00,27500,3,27500_CE,127.4,118.1,2019-01-07 14:30:00,27500_PE,219.2,219.25,2019-01-07 14:30:00,9.25
5,2019-01-08 09:20:00,27300,2,27300_CE,119.55,161.45,2019-01-08 10:06:00,27300_PE,188.5,77.45,2019-01-08 14:30:00,69.15
6,2019-01-09 09:20:00,27700,1,27700_CE,83.7,33.65,2019-01-09 14:30:00,27700_PE,170.15,224.0,2019-01-09 13:52:00,-3.79999999999999
7,2019-01-10 09:20:00,27700,0,27700_CE,45.0,0.75,2019-01-10 14:30:00,27700_PE,117.0,155.0,2019-01-10 12:07:00,6.25
8,2019-01-11 09:20:00,27700,6,27700_CE,164.0,116.35,2019-01-11 14:30:00,27700_PE,269.35,310.15,2019-01-11 14:30:00,6.850000000000051
9,2019-01-14 09:20:00,27400,3,27400_CE,145.1,127.95,2019-01-14 14:30:00,27400_PE,209.15,206.0,2019-01-14 14:30:00,20.299999999999997
10,2019-01-15 09:20:00,27400,2,27400_CE,137.65,143.05,2019-01-15 14:30:00,27400_PE,162.05,119.75,2019-01-15 14:30:00,36.900000000000006
11,2019-01-16 09:20:00,27500,1,27500_CE,95.0,129.1,2019-01-16 09:31:00,27500_PE,132.35,77.35,2019-01-16 14:30:00,20.900000000000006
12,2019-01-17 09:20:00,27600,0,27600_CE,25.4,3.2,2019-01-17 14:30:00,27600_PE,101.1,135.25,2019-01-17 11:54:00,-11.950000000000006
13,2019-01-18 09:20:00,27600,6,27600_CE,176.6,145.15,2019-01-18 14:30:00,27600_PE,197.3,257.55,2019-01-18 10:22:00,-28.80000000000001
14,2019-01-21 09:20:00,27500,3,27500_CE,145.9,202.05,2019-01-21 09:41:00,27500_PE,212.9,141.7,2019-01-21 14:30:00,15.050000000000011
15,2019-01-22 09:20:00,27500,2,27500_CE,148.2,137.9,2019-01-22 14:30:00,27500_PE,172.3,147.9,2019-01-22 14:30:00,34.69999999999999
16,2019-01-23 09:20:00,27500,1,27500_CE,135.85,82.2,2019-01-23 14:30:00,27500_PE,114.55,141.85,2019-01-23 14:30:00,26.349999999999994
17,2019-01-24 09:20:00,27300,0,27300_CE,42.55,16.75,2019-01-24 14:30:00,27300_PE,84.3,111.8,2019-01-24 09:25:00,-1.7000000000000028
18,2019-01-25 09:20:00,27400,6,27400_CE,214.15,134.85,2019-01-25 14:30:00,27400_PE,172.6,237.7,2019-01-25 13:45:00,14.200000000000017
19,2019-01-28 09:20:00,27100,3,27100_CE,191.0,69.25,2019-01-28 14:30:00,27100_PE,195.0,255.0,2019-01-28 09:39:00,61.75
20,2019-01-29 09:20:00,26700,2,26700_CE,183.6,258.0,2019-01-29 12:24:00,26700_PE,205.25,228.95,2019-01-29 14:30:00,-98.1
21,2019-01-30 09:20:00,26800,1,26800_CE,127.3,163.6,2019-01-30 14:30:00,26800_PE,161.45,71.35,2019-01-30 14:30:00,53.8
22,2019-01-31 09:20:00,26900,0,26900_CE,81.4,112.7,2019-01-31 11:25:00,26900_PE,61.9,2.3,2019-01-31 14:30:00,28.300000000000004
23,2019-02-01 09:20:00,27400,6,27400_CE,214.55,280.5,2019-02-01 12:35:00,27400_PE,318.3,429.0,2019-02-01 14:06:00,-176.64999999999998
24,2019-02-04 09:20:00,27000,3,27000_CE,150.35,203.7,2019-02-04 12:05:00,27000_PE,232.0,132.4,2019-02-04 14:30:00,46.25
25,2019-02-05 09:20:00,27300,2,27300_CE,133.95,175.25,2019-02-05 12:06:00,27300_PE,196.65,182.0,2019-02-05 14:30:00,-26.650000000000006
26,2019-02-06 09:20:00,27400,1,27400_CE,112.95,95.8,2019-02-06 14:30:00,27400_PE,169.9,158.55,2019-02-06 14:30:00,28.5
27,2019-02-07 09:20:00,27500,0,27500_CE,78.0,133.7,2019-02-07 11:46:00,27500_PE,145.75,30.9,2019-02-07 14:30:00,59.150000000000006
